alpha,seed,final_cluster_count,variance_of_counts,autocorrelation,final_variance,convergence_time
0.3,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.3,1,4,0.24526345555660287,0.38417423490518876,0.47100080246035614,103
0.3,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.3,3,4,0.21682205911525487,0.5370282076723837,0.4549244357210709,142
0.3,4,8,0.6835999999999999,0.3220596840257462,0.40889159759052357,100
0.3,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.3,6,5,0.477302289281998,0.4268776180282977,0.4639739768497489,124
0.3,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.3,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.3,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.35,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.35,1,4,0.24526345555660287,0.38417423490518876,0.47100080246035614,103
0.35,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.35,3,4,0.21682205911525487,0.5370282076723837,0.4549244357210709,142
0.35,4,8,0.6835999999999999,0.3220596840257462,0.40889159759052357,100
0.35,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.35,6,5,0.477302289281998,0.4268776180282977,0.4639739768497489,124
0.35,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.35,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.35,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.39999999999999997,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.39999999999999997,1,4,0.24526345555660287,0.38417423490518876,0.4715258052850472,103
0.39999999999999997,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.39999999999999997,3,4,0.21682205911525487,0.5370282076723837,0.4549244357210709,142
0.39999999999999997,4,8,0.6835999999999999,0.3220596840257462,0.40889159759052357,100
0.39999999999999997,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.39999999999999997,6,5,0.477302289281998,0.4268776180282977,0.4639739768497489,124
0.39999999999999997,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.39999999999999997,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.39999999999999997,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.44999999999999996,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.44999999999999996,1,4,0.24526345555660287,0.38417423490518876,0.4715258052850472,103
0.44999999999999996,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.44999999999999996,3,4,0.21682205911525487,0.5370282076723837,0.4549244357210709,142
0.44999999999999996,4,8,0.6835999999999999,0.3220596840257462,0.40889159759052357,100
0.44999999999999996,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.44999999999999996,6,5,0.477302289281998,0.4268776180282977,0.4640108682447642,124
0.44999999999999996,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.44999999999999996,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.44999999999999996,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.49999999999999994,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.49999999999999994,1,4,0.0631309085082519,-0.0003212748184797152,0.4724165555164471,79
0.49999999999999994,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.49999999999999994,3,4,0.21682205911525487,0.5370282076723837,0.4549244357210709,142
0.49999999999999994,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.49999999999999994,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.49999999999999994,6,5,0.477302289281998,0.4268776180282977,0.4640108682447642,124
0.49999999999999994,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.49999999999999994,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.49999999999999994,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.5499999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.5499999999999999,1,4,0.0631309085082519,-0.0003212748184797152,0.4724269378895817,79
0.5499999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.5499999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.5499999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.5499999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.5499999999999999,6,5,0.477302289281998,0.4268776180282977,0.4640108682447642,124
0.5499999999999999,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.5499999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.5499999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.5999999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.5999999999999999,1,4,0.0631309085082519,-0.0003212748184797152,0.4724269378895817,79
0.5999999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.5999999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.5999999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.5999999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.5999999999999999,6,5,0.477302289281998,0.4268776180282977,0.46401995140978897,124
0.5999999999999999,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.5999999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.5999999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.6499999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.6499999999999999,1,4,0.0631309085082519,-0.0003212748184797152,0.4724269378895817,79
0.6499999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.6499999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.6499999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.6499999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.6499999999999999,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.6499999999999999,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.6499999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.6499999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.7,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.7,1,5,0.11248197404262147,-0.0016228497241154904,0.47246104158966223,79
0.7,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.7,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.7,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.7,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.7,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.7,7,4,0.3823039940828402,0.5268672681611011,0.47192485892139757,104
0.7,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.7,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.7499999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.7499999999999999,1,5,0.11248197404262147,-0.0016228497241154904,0.47246104158966223,79
0.7499999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.7499999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.7499999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.7499999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.7499999999999999,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.7499999999999999,7,4,0.3428254437869823,0.5702638785163054,0.4721724992416943,104
0.7499999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.7499999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.7999999999999998,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.7999999999999998,1,5,0.11248197404262147,-0.0016228497241154904,0.47246104158966223,79
0.7999999999999998,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.7999999999999998,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.7999999999999998,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.7999999999999998,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.7999999999999998,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.7999999999999998,7,4,0.3428254437869823,0.5702638785163054,0.4721724992416943,104
0.7999999999999998,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.7999999999999998,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.8499999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.8499999999999999,1,5,0.11248197404262147,-0.0016228497241154904,0.47246104158966223,79
0.8499999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.8499999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.8499999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.8499999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.8499999999999999,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.8499999999999999,7,4,0.3428254437869823,0.5702638785163054,0.4721724992416943,104
0.8499999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.8499999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
0.8999999999999999,0,5,0.30836489195811967,-0.0030325166653637358,0.40612056769515803,134
0.8999999999999999,1,5,0.11248197404262147,-0.0016228497241154904,0.47246104158966223,79
0.8999999999999999,2,2,0.0322222222222222,-0.003831417624520988,0.43206394295989153,90
0.8999999999999999,3,5,0.2702340805395756,0.4943535317243892,0.45499967254728974,142
0.8999999999999999,4,8,0.6250999999999999,0.3442809150535915,0.4089210562258766,100
0.8999999999999999,5,5,0.39086415816326525,0.5147395180793103,0.4361334745541094,112
0.8999999999999999,6,5,0.5255568017945841,-0.0075640629824019635,0.46584691581897825,79
0.8999999999999999,7,4,0.3428254437869823,0.5702638785163054,0.4721724992416943,104
0.8999999999999999,8,4,0.17211976997818754,0.2176295380465325,0.4520183371463538,123
0.8999999999999999,9,3,0.047086801426872785,-0.0017415534656915006,0.44137885696652085,145
