final_cluster_count,cluster_lifetime_mean,final_variance,final_modularity_Q,convergence_time,alpha,seed,network_type,n_agents
9,59.0,0.500204318324269,-0.008077777777777784,59,0.8,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,0.8,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,0.8,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,0.8,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,0.87,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,0.87,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,0.87,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,0.87,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.87,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.87,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,0.87,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,0.87,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,0.87,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,0.87,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,0.94,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,0.94,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,0.94,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,0.94,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.94,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.94,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,0.94,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,0.94,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,0.94,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,0.94,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.01,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.01,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.01,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.01,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.01,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.01,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.01,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.01,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.01,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.01,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.08,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.08,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.08,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.08,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.08,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.08,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.08,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.08,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.08,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.08,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.15,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.15,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.15,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.15,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.15,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.15,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.15,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.15,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.15,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.15,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.22,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.22,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.22,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.22,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.22,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.22,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.22,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.22,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.22,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.22,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.29,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.29,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.29,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.29,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.29,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.29,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.29,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.29,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.29,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.29,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.36,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.36,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.36,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.36,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.36,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.36,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.36,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.36,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.36,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.36,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,1.43,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,1.43,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,1.43,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,1.43,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,1.43,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,1.43,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,1.43,6,small_world,100
12,20.333333333333332,0.4972311095770962,-0.009033333333333336,61,1.43,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,1.43,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,1.43,9,small_world,100
