2026-01-20 22:24:33,817 | DEBUG   | method |   t=0: clusters=9, variance=0.4691, max_change=0.099544
2026-01-20 22:24:34,027 | DEBUG   | method |   Converged at t=80
2026-01-20 22:24:34,028 | INFO    | method |   Result: clusters=7, lifetime=27.00
2026-01-20 22:24:34,029 | INFO    | method | Run 7/10: alpha=0.0, seed=6
2026-01-20 22:24:34,030 | INFO    | method | Running simulation: alpha=0.0, n=100, seed=6, network=small_world
2026-01-20 22:24:34,030 | DEBUG   | method | Initializing 100 agents with alpha=0.0, seed=6
2026-01-20 22:24:34,040 | DEBUG   | method | Agent opinions: mean=0.023, std=0.708
2026-01-20 22:24:34,041 | DEBUG   | method | Creating small_world network with 100 nodes, seed=6
2026-01-20 22:24:34,042 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:34,046 | DEBUG   | method |   t=0: clusters=9, variance=0.5015, max_change=0.094979
2026-01-20 22:24:34,320 | DEBUG   | method |   Converged at t=64
2026-01-20 22:24:34,320 | INFO    | method |   Result: clusters=12, lifetime=16.25
2026-01-20 22:24:34,321 | INFO    | method | Run 8/10: alpha=0.0, seed=7
2026-01-20 22:24:34,322 | INFO    | method | Running simulation: alpha=0.0, n=100, seed=7, network=small_world
2026-01-20 22:24:34,322 | DEBUG   | method | Initializing 100 agents with alpha=0.0, seed=7
2026-01-20 22:24:34,329 | DEBUG   | method | Agent opinions: mean=0.110, std=0.706
2026-01-20 22:24:34,330 | DEBUG   | method | Creating small_world network with 100 nodes, seed=7
2026-01-20 22:24:34,335 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:34,341 | DEBUG   | method |   t=0: clusters=10, variance=0.4980, max_change=0.090625
2026-01-20 22:24:34,833 | DEBUG   | method |   Converged at t=80
2026-01-20 22:24:34,834 | INFO    | method |   Result: clusters=7, lifetime=27.00
2026-01-20 22:24:34,834 | INFO    | method | Run 9/10: alpha=0.0, seed=8
2026-01-20 22:24:34,834 | INFO    | method | Running simulation: alpha=0.0, n=100, seed=8, network=small_world
2026-01-20 22:24:34,834 | DEBUG   | method | Initializing 100 agents with alpha=0.0, seed=8
2026-01-20 22:24:34,838 | DEBUG   | method | Agent opinions: mean=0.025, std=0.680
